SMILES,IC50(microM)
Cc1nc(N2CCC3(CCC[C@@H]3N)CC2)c(C)c(=O)n1-c1cccc(Cl)c1Cl,0.041
N[C@H]1CCC11CCN(CC1)c1cnc(Sc2ccnc(N)c2Cl)c(N)n1,0.042
N[C@@H]1CCCC11CCN(CC1)c1cnc(Sc2ccncc2C(F)(F)F)c(N)n1,0.042
COc1nccc(-c2n[nH]c3nc(N4CCC5(CO[C@@H](C)[C@H]5N)CC4)n(C)c(=O)c23)c1Cl,0.043
C[C@@H]1OCC2(CCN(CC2)c2nc(N)c(Sc3ccnc(c3Cl)C(F)(F)F)c(=O)n2C)[C@@H]1N,0.043
C[C@@H]1OCC2(CCN(CC2)c2nc(N)c(-c3ccc(OCc4ccccc4)cc3)c(=O)n2C)[C@@H]1N,0.043
Cn1c(nc(N)c(-c2cccc(Cl)c2Cl)c1=O)N1CCC2(C[C@H](C[C@H]2N)C(F)(F)F)CC1,0.043
Cn1c(nc2[nH]nc(-c3cccc(Cl)c3Cl)c2c1=O)N1CCC2(CC[C@@H]2N)CC1,0.044
CC1(N)CCN(CC1)c1cnc(Sc2ccc(Br)cc2Cl)c(N)n1,0.044
C[C@@H]1OCC2(CCN(CC2)c2nc(N)c(Sc3ccnc(N)c3Cl)c(=O)n2C)[C@@H]1N,0.044
Cn1c(nc(N)c(-c2ccccc2)c1=O)N1CCC2(CC(F)(F)C[C@H]2N)CC1,0.044
C[C@@H]1OCC2(CCN(CC2)c2nc(N)c(-c3cccc(F)c3)c(=O)n2C)[C@@H]1N,0.044
CO[C@@H]1C[C@@H](N)C2(C1)CCN(CC2)c1cnc(Sc2ccnc(N)c2Cl)c(N)n1,0.044
Cn1c(nc(N)c(Sc2cccc3ccccc23)c1=O)N1CCC(C)(CN)CC1,0.045
C[C@@H]1OCC2(CCN(CC2)c2nc(N)c(-c3ccccc3Cl)c(=O)n2C)[C@@H]1N,0.045
Cn1c(nc2[nH]nc(-c3ccccc3)c2c1=O)N1CCC2(CCC[C@H]2N)CC1,0.046
Cn1c(nc(N)c(-c2ccccc2)c1=O)N1CCC2(C[C@H](F)C[C@H]2N)CC1,0.046
C[C@@H]1OCC2(CCN(CC2)c2nc(N)c(-c3ccccc3F)c(=O)n2C)[C@@H]1N,0.046
CC1(N)CCN(CC1)c1cnc(Sc2cccc(N)c2C(F)(F)F)c(N)n1,0.046
Cc1nc(N2CCC3(CCC[C@H]3N)CC2)n2ccnc2c1-c1cccc2[nH]ccc12,0.047
CCNc1nccc(-c2n[nH]c3nc(N4CCC5(CO[C@@H](C)[C@H]5N)CC4)n(C)c(=O)c23)c1Cl,0.047
C[C@@H]1CC2(CCN(CC2)c2nc(N)c(Sc3ccnc(N)c3Cl)c(=O)n2C)[C@@H](N)[C@H]1F,0.047
